koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,CANDIDATE,0,0,0,0,3.709214104,133.98318,0.051,2.6302,1.31E+02,1.16,1206,500.46,50.6,5833,4.407,1.022
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,11.52144606,170.839688,2.483,3.6399,1.80E+04,150.51,753,75.88,622.1,5795,4.554,0.848
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8.92E+03,7.18,523,17.69,214.7,5043,4.591,0.68
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,7.43E+04,49.29,698,55.97,2317,6117,4.496,0.947
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,16.46983774,180.881761,0.292,9.4378,1.05E+04,7.94,595,29.61,303.4,5152,4.517,0.786
CONFIRMED,CANDIDATE,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1.29E+03,2.47,649,41.85,87.2,4856,4.583,0.696
CONFIRMED,CANDIDATE,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1.91E+03,2.85,678,50.04,65.4,4537,4.648,0.672
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,2.696370652,170.73769,0.044,3.6129,3.98E+02,1.58,1066,305.34,48.2,4989,4.504,0.819
CONFIRMED,CANDIDATE,0,0,0,0,5.349553819,171.80694,0.092,3.0278,8.31E+02,2.55,919,168.99,60.6,5185,4.44,0.91
CONFIRMED,CANDIDATE,0,0,0,0,3.94105221,136.08662,0.226,2.5984,3.63E+02,1.7,1018,253.15,28.9,5185,4.44,0.91
CONFIRMED,CANDIDATE,0,0,0,0,8.10904807,132.8031,0.025,3.596,2.17E+02,1.3,800,97.03,14.1,5185,4.44,0.91
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,2.49E+04,41.5,297,1.84,994,5543,4.081,1.58
CONFIRMED,CANDIDATE,0,0,0,0,21.67699193,171.53594,0.896,3.4555,8.57E+02,2.95,530,18.64,34.3,4954,4.5,0.828
CONFIRMED,CANDIDATE,0,0,0,0,4.99677968,171.74208,0.71,2.1717,9.35E+02,2.78,917,166.95,28.2,5339,4.552,0.847
CONFIRMED,CANDIDATE,0,0,0,0,4.280963604,171.89659,0.424,2.875,7.51E+02,2.3,1012,247.87,61.8,5644,4.564,0.831
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2.21E+03,4.53,1452,1054.12,181.1,5714,4.563,0.831
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,670.645531,209.04355,0.701,53.412,1.81E+04,14.14,196,0.35,642.7,5520,4.466,0.983
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,61.2563628,173.83826,1.248,7.633,5.12E+03,39.87,505,15.43,85.3,6144,4.402,1.091
CONFIRMED,CANDIDATE,0,0,0,0,38.3775486,172.82048,0.468,5.588,7.24E+02,2.82,529,18.53,34.7,5481,4.369,1.036
CONFIRMED,CANDIDATE,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2.21E+03,3.86,439,8.76,51.2,5031,4.485,0.848
CONFIRMED,CANDIDATE,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1.04E+03,2.65,823,108.3,47.1,5031,4.485,0.848
CONFIRMED,CANDIDATE,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1.12E+03,3.1,593,29.31,33.2,5015,4.499,0.826
CONFIRMED,CANDIDATE,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1.80E+03,3.36,506,15.55,80,5586,4.56,0.798
