Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,3.044770796,10.0134,1700,24.54,317.36,1076,5525,4.603,0.753
1,3.855603916,3.2179,16700,13.61,508.65,1212,6033,4.46,1.046
0,3.855599139,3.183,1030,3.57,425.74,1158,5936,4.501,0.965
0,38.47876629,5.04169,23500,13.26,13.01,484,5510,4.539,0.879
0,37.60166128,8.30604,59100,27.22,31.86,606,6140,4.354,1.096
1,3.314947362,1.8007,1400,3.94,421.03,1155,5609,4.481,0.944
0,6.71969089,3.0231,970,4.37,194.18,952,5931,4.479,0.866
1,39.6431552,6.5292,15700,10.98,11.74,472,5231,4.455,0.9
0,51.42598578,16.9422,66100,29.66,21.4,549,6257,4.41,1.147
1,21.80451611,3.4097,1140,2.6,20.48,543,5481,4.629,0.708
1,10.28194593,3.4366,1110,2.53,50.6,680,5196,4.593,0.775
1,18.11993039,4.2309,1510,2.95,23.77,563,5196,4.593,0.775
1,3.78402867,1.9012,426,1.7,191.78,949,5196,4.593,0.775
1,5.15448142,3.228,698,2.94,204.1,964,5431,4.457,0.884
0,33.80364366,11.4813,13500,20.7,72.71,745,5855,3.999,1.796
1,5.743469797,3.4412,1240,3.13,219.95,982,5897,4.531,0.891
1,39.4759093,2.968,1010,4.06,26.13,577,6225,4.45,1.031
0,19.97448524,4.23479,40300,26.56,56.84,700,6108,4.471,0.997
1,3.166353562,3.3129,1470,3.82,621.92,1273,6007,4.47,0.998
0,23.89963441,3.81881,21000,44.04,42.8,652,6192,4.503,0.924
1,3.388012244,2.6849,280,2.11,705.93,1315,5553,4.221,1.25
1,5.83909761,3.1915,274,2.06,341.48,1097,5553,4.221,1.25
1,1.620467654,2.1888,160,1.57,1893.42,1681,5553,4.221,1.25
1,10.6816951,3.605,308,2.3,152.75,897,5553,4.221,1.25
1,6.104849417,4.6912,2090,3.18,89.25,784,5085,4.584,0.712
1,3.578780566,2.91089,11400,10.43,406.6,1145,5524,4.421,0.994
0,3.187067566,3.119,1040,23.88,319.76,1079,5450,4.552,0.811
